423,to
332,put
299,one
146,final
208,in
403,the
195,his
144,film
45,before
172,going
485,world
292,of
287,night
478,with
413,this
37,bad
151,for
394,such
274,movie
410,thing
396,sure
212,is
150,first
293,off
467,what
224,kind
226,last
281,name
184,have
497,you
125,ever
25,any
183,has
288,no
470,which
443,up
180,half
451,viewer
22,an
186,he
23,and
100,do
348,same
296,old
254,make
158,funny
404,their
245,looking
235,like
249,love
73,child
297,on
42,become
463,we
28,are
426,too
243,long
352,scenes
473,who
62,by
155,from
162,gets
211,into
97,different
264,men
379,some
306,out
194,himself
31,as
39,be
469,where
257,man
319,piece
324,plays
368,she
409,they
133,eyes
32,at
110,each
303,other
9,after
471,while
167,given
124,even
271,more
135,fact
402,that
484,work
29,around
405,them
289,not
383,sort
12,all
61,but
148,find
464,well
21,american
215,its
307,over
494,years
202,how
11,against
173,good
44,been
309,own
193,him
95,did
459,watch
35,awful
461,watching
263,mean
357,see
214,it
456,was
489,would
460,watched
85,couple
115,end
499,your
477,will
434,trying
191,here
445,use
277,much
248,lot
406,then
168,gives
237,line
295,oh
266,might
0,able
145,films
363,sense
468,when
343,rest
370,shot
83,could
317,person
407,there
71,character
101,does
225,know
290,nothing
414,those
392,stupid
198,home
205,humor
401,than
207,if
466,were
491,written
5,action
107,drama
301,or
200,horror
219,just
373,shows
291,now
27,anything
259,matter
272,most
422,title
55,book
128,everything
411,things
283,never
371,should
175,great
262,me
378,so
120,entire
341,recommend
26,anyone
137,fan
488,worth
339,really
330,problem
213,isn
53,bit
210,interesting
349,saw
96,didn
270,money
327,poor
256,making
482,won
399,tell
390,story
86,course
358,seeing
143,few
102,doesn
425,together
294,often
408,these
275,movies
104,don
395,supposed
228,laugh
41,because
258,many
19,am
350,say
239,little
105,done
412,think
204,human
366,several
421,times
50,better
66,can
418,through
282,need
438,two
10,again
121,episode
1,about
398,takes
320,place
16,also
338,real
18,always
353,school
279,must
236,liked
74,children
420,time
326,point
142,felt
179,had
475,why
36,back
344,right
185,having
416,thought
314,performance
389,still
447,ve
166,give
433,try
487,worst
362,seen
189,help
141,feel
99,director
452,want
126,every
177,guy
127,everyone
351,scene
481,women
240,live
4,acting
7,actors
78,close
479,without
182,hard
372,show
13,almost
34,away
300,only
268,minutes
234,life
91,death
94,dialogue
315,performances
72,characters
161,get
247,lost
424,today
33,audience
280,my
313,perfect
63,called
457,wasn
462,way
169,go
188,heart
490,writing
113,either
387,stars
190,her
57,both
154,friends
47,being
90,dead
312,people
244,look
431,true
223,killer
267,mind
230,least
335,rather
441,unfortunately
43,becomes
138,fans
206,idea
171,goes
381,something
8,actually
152,found
160,gave
261,maybe
51,between
260,may
238,lines
176,guess
242,ll
221,kids
322,played
24,another
199,hope
347,said
3,act
112,effects
2,absolutely
415,though
122,especially
79,come
77,classic
298,once
227,later
252,made
376,since
114,else
440,understand
340,reason
361,seems
437,tv
364,series
388,start
446,used
139,far
75,cinema
492,wrong
369,short
498,young
354,screen
310,part
346,run
136,family
325,plot
163,getting
386,star
316,perhaps
255,makes
359,seem
311,past
70,certainly
449,very
17,although
334,quite
432,truly
106,down
417,three
400,terrible
486,worse
329,probably
108,during
342,remember
69,cast
48,believe
318,picture
64,came
20,amazing
174,got
251,low
49,best
385,special
458,waste
450,video
233,let
197,hollywood
246,looks
428,totally
336,re
117,enjoy
436,turns
218,john
111,early
360,seemed
448,version
483,wonderful
229,lead
465,went
231,left
196,history
496,yet
203,however
427,top
54,black
472,white
40,beautiful
305,our
232,less
187,head
123,etc
88,day
149,fine
439,under
377,small
455,war
454,wants
241,lives
435,turn
328,pretty
286,nice
429,town
430,tries
56,boring
109,dvd
284,new
130,example
192,high
495,yes
250,loved
52,big
147,finally
98,direction
217,job
170,god
131,excellent
380,someone
157,fun
129,evil
178,guys
375,simply
159,game
321,play
393,style
116,ending
14,along
59,brilliant
444,us
331,production
384,sound
119,entertaining
118,enough
60,budget
81,comes
367,sex
58,boy
397,take
80,comedy
356,second
209,instead
87,dark
220,keep
38,based
345,role
476,wife
76,city
355,script
453,wanted
285,next
323,playing
92,definitely
253,main
333,quality
365,set
308,overall
82,completely
337,read
132,expect
273,mother
382,son
222,kill
153,friend
442,until
181,hand
67,care
304,others
65,camera
269,moments
419,throughout
474,whole
30,art
89,days
156,full
493,year
276,mr
201,house
68,case
84,couldn
164,girl
6,actor
134,face
278,music
216,itself
302,original
391,stuff
480,woman
265,michael
15,already
165,girls
46,beginning
93,despite
374,side
103,doing
140,father
